cd_id,cd_cliente,cd_unidade,cd_id_talhao,cd_fazenda,cd_zona,cd_talhao,desc_operac,processo_macro,data_operacao,DAP,semana_ano,id_safra,geohash_macro,geohash_regional,geohash_sub_regional,geohash_local
615397000024,24,1,1355205659000024,2001,1,102,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2023-11-24,43,47,611,6,6uge,6uge3,6uge3h
615397000024,24,1,1355205659000024,2001,1,102,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2023-12-02,51,48,611,6,6uge,6uge3,6uge3h
615401000024,24,1,1355205659000024,2001,1,102,T. Culturais - Controle de Doença - Soja,fungicida,2023-12-06,55,49,611,6,6uge,6uge3,6uge3h
615401000024,24,1,1355205659000024,2001,1,102,T. Culturais - Controle de Doença - Soja,fungicida,2023-12-27,76,52,611,6,6uge,6uge3,6uge3h
615401000024,24,1,1355205659000024,2001,1,102,T. Culturais - Controle de Doença - Soja,fungicida,2024-01-03,83,1,611,6,6uge,6uge3,6uge3h
615401000024,24,1,1355205659000024,2001,1,102,T. Culturais - Controle de Doença - Soja,fungicida,2024-01-12,92,2,611,6,6uge,6uge3,6uge3h
615401000024,24,1,1355205659000024,2001,1,102,T. Culturais - Controle de Doença - Soja,fungicida,2024-01-18,98,3,611,6,6uge,6uge3,6uge3h
615403000024,24,1,1355205659000024,2001,1,102,TC Aplicação Dessecação da Cultura - Soja,herbicida,2024-01-18,98,3,611,6,6uge,6uge3,6uge3h
615399000024,24,1,1355205659000024,2001,1,102,T. Culturais - Controle de Sugadores - Soja,inseticida,2024-01-24,104,4,611,6,6uge,6uge3,6uge3h
615403000024,24,1,1355205659000024,2001,1,102,TC Aplicação Dessecação da Cultura - Soja,herbicida,2024-01-26,106,4,611,6,6uge,6uge3,6uge3h
573788000013,13,3,50221262000013,3,46,11,PLANTIO DE SOJA SEM ADUBO,outros,2023-10-07,0,40,613,6,6v85,6v852,6v852c
42224560000024,24,1,1355205660000024,2001,1,103,Plantio Mecanizado - Soja,plantio,2024-10-26,0,43,613,6,6uge,6uge2,6uge2u
615395000024,24,1,1355205660000024,2001,1,103,T. Culturais - Dessecação Pré-Plantio - Soja,herbicida,2024-10-27,1,43,613,6,6uge,6uge2,6uge2u
615397000024,24,1,1355205660000024,2001,1,103,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2024-11-20,25,47,613,6,6uge,6uge2,6uge2u
615401000024,24,1,1355205660000024,2001,1,103,T. Culturais - Controle de Doença - Soja,fungicida,2024-11-23,28,47,613,6,6uge,6uge2,6uge2u
615397000024,24,1,1355205660000024,2001,1,103,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2024-12-12,47,50,613,6,6uge,6uge2,6uge2u
615401000024,24,1,1355205660000024,2001,1,103,T. Culturais - Controle de Doença - Soja,fungicida,2024-12-19,54,51,613,6,6uge,6uge2,6uge2u
615398000024,24,1,1355205660000024,2001,1,103,T. Culturais - Controle de Lagartas - Soja,inseticida,2024-12-23,58,52,613,6,6uge,6uge2,6uge2u
615401000024,24,1,1355205660000024,2001,1,103,T. Culturais - Controle de Doença - Soja,fungicida,2025-01-10,76,2,613,6,6uge,6uge2,6uge2u
615401000024,24,1,1355205660000024,2001,1,103,T. Culturais - Controle de Doença - Soja,fungicida,2025-01-23,89,4,613,6,6uge,6uge2,6uge2u
615403000024,24,1,1355205660000024,2001,1,103,TC Aplicação Dessecação da Cultura - Soja,herbicida,2025-02-11,108,7,613,6,6uge,6uge2,6uge2u
573788000013,13,3,50221263000013,3,46,12,PLANTIO DE SOJA SEM ADUBO,outros,2023-10-07,0,40,614,6,6v85,6v852,6v852b
42224560000024,24,1,1355205660000024,2001,1,103,Plantio Mecanizado - Soja,plantio,2025-10-20,0,43,614,6,6uge,6uge2,6uge2u
615400000024,24,1,1355205660000024,2001,1,103,T. Culturais - Controle de Outras Pragas - Soja,inseticida,2025-11-09,20,45,614,6,6uge,6uge2,6uge2u
615401000024,24,1,1355205660000024,2001,1,103,T. Culturais - Controle de Doença - Soja,fungicida,2025-11-20,31,47,614,6,6uge,6uge2,6uge2u
615401000024,24,1,1355205660000024,2001,1,103,T. Culturais - Controle de Doença - Soja,fungicida,2025-12-12,53,50,614,6,6uge,6uge2,6uge2u
615401000024,24,1,1355205660000024,2001,1,103,T. Culturais - Controle de Doença - Soja,fungicida,2026-01-07,79,2,614,6,6uge,6uge2,6uge2u
615401000024,24,1,1355205660000024,2001,1,103,T. Culturais - Controle de Doença - Soja,fungicida,2026-01-20,92,4,614,6,6uge,6uge2,6uge2u
573788000013,13,3,50221266000013,3,46,15,PLANTIO DE SOJA SEM ADUBO,outros,2023-10-06,0,40,617,6,6v85,6v851,6v851p
42224560000024,24,1,1355205673000024,2001,1,201,Plantio Mecanizado - Soja,plantio,2023-10-16,0,42,617,6,6uge,6uge3,6uge3u
615397000024,24,1,1355205673000024,2001,1,201,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2023-11-23,38,47,617,6,6uge,6uge3,6uge3u
615397000024,24,1,1355205673000024,2001,1,201,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2023-11-27,42,48,617,6,6uge,6uge3,6uge3u
615401000024,24,1,1355205673000024,2001,1,201,T. Culturais - Controle de Doença - Soja,fungicida,2023-12-09,54,49,617,6,6uge,6uge3,6uge3u
